car,year,firm_id,firm_name,division,model,hybrid,segm1,Quantity,Price,wheel_base,length,width,weight,disp,hp,mpg_city,mpg_highway
0,2005,30,KIA,Kia,Sedona,0,21,52837,20840,114.6,194.1,74.6,4802,3.5,195,16,22
0,2005,30,KIA,Kia,Sorento,0,32,47610,19635,106.7,179.8,73.3,4112,3.5,192,16,19
0,2005,32,LAND,Land Rover,Freelander,0,32,2141,27495,101.1,174.1,81.5,3640,2.5,174,17,21
0,2005,32,LAND,Land Rover,LR3,0,32,19346,44995,113.6,190.9,75.4,5426,4.4,300,14,18
0,2005,1,TOYOTA,Lexus,GX470,0,38,34339,46425,109.8,188.2,74,4871,4.7,270,15,19
0,2005,1,TOYOTA,Lexus,LX450 LX470,0,34,8555,65400,112.2,192.5,76.4,5900,4.7,235,13,17
0,2005,1,TOYOTA,Lexus,RX330,0,39,108775,36400,106.9,186.2,72.6,3860,3.3,230,19,25
0,2005,18,FORD,Lincoln,Aviator,0,34,15873,41200,113.7,193.3,73.9,4818,4.6,302,13,18
0,2005,18,FORD,Lincoln,Navigator,0,34,25844,50435,118.8,207.5,78.7,5555,5.4,300,13,18
0,2005,18,FORD,lincoln mercury,Mariner,0,38,34099,21995,103.1,174.3,70.1,3285,2.3,153,22,26
0,2005,18,FORD,lincoln mercury,Monterey,0,22,8166,29695,120.8,201,76.4,4434,4.2,201,17,23
0,2005,18,FORD,lincoln mercury,Mountaineer,0,32,32491,29995,113.8,190.9,72.3,4414,4,210,16,21
0,2005,4,MAZDA,Mazda,B-series,0,41,5872,15935,111.6,187.5,69.4,3994,2.3,143,24,29
0,2005,4,MAZDA,Mazda,MPV,0,21,17634,23485,111.8,189.5,72.1,3772,3,200,18,25
0,2005,4,MAZDA,Mazda,Tribute,0,38,36761,20220,103.1,174.4,72,3181,2.3,153,24,29
0,2005,9,MERCEDEZ,MERCEDEZ,G class,0,34,1334,78420,112.2,185.6,71.3,5545,5,292,13,14
0,2005,9,MERCEDEZ,MERCEDEZ,ML320,0,39,34959,38670,111,182.6,72.4,4819,3.7,232,15,18
0,2005,10,MITSUBIS,Mitsubishi,Endeavor,0,38,20994,25994,108.3,190.2,73.6,3869,3.8,225,17,23
0,2005,10,MITSUBIS,Mitsubishi,Montero,0,32,2778,35799,109.7,190.2,74.8,4787,3.8,215,15,19
0,2005,10,MITSUBIS,Mitsubishi,Outlander,0,38,11848,18394,103.3,179.1,68.9,3240,2.4,160,22,28
0,2005,2,NISSAN,Nissan,Armada,0,39,39508,34250,123.2,206.9,78.8,5168,5.6,305,13,19
0,2005,2,NISSAN,Nissan,Frontier,0,41,72838,16080,125.9,205.5,72.8,3675,2.5,154,22,25
0,2005,2,NISSAN,Nissan,Murano,0,38,74454,27500,111.2,187.6,74,2269,3.5,245,20,25
0,2005,2,NISSAN,Nissan,Pathfinder,0,32,76000,25210,112.2,187.6,72.8,4376,4,270,16,23
0,2005,2,NISSAN,Nissan,Quest,0,21,40357,23910,124,204.1,77.6,4040,3.5,240,19,26
0,2005,2,NISSAN,Nissan,Titan,0,42,86945,23300,139.8,224.2,78.8,5019,5.6,305,14,19
0,2005,2,NISSAN,Nissan,Xterra,0,31,72447,23300,106.3,178.7,72.8,4081,4,265,14,19
0,2005,19,GM,Pontiac,Aztek,0,38,5020,22060,108.3,182.2,73.6,3779,3.4,185,19,26
0,2005,19,GM,Pontiac,MONTANA TRANS SPORT Sport,0,21,23439,25235,121.1,205.5,72,4206,3.5,200,18,24
0,2005,12,PORSCHE,Porsche,Cayenne,0,39,13607,41915,112.4,188.3,75.9,4949,3.2,247,16,20
0,2005,19,GM,SATURN,Vue,0,38,91972,17630,106.6,181.3,71.6,3207,2.2,143,23,28
0,2005,5,SUBARU,SUBARU,baja,0,38,6239,24770,104.3,193.3,70.1,3485,2.5,210,19,25
0,2005,5,SUBARU,subaru,forester,0,38,53541,21870,99.4,175.2,68.3,3090,2.5,165,23,30
0,2005,31,SUZUKI,Suzuki,Grand Vitara,0,31,8624,18994,97.6,164.6,70.1,3108,2.5,165,19,22
0,2005,1,TOYOTA,Toyota,4 Runner,0,32,103830,28060,109.8,189,73.8,4045,4,245,18,21
0,2005,1,TOYOTA,Toyota,Highlander,0,38,137409,24645,106.9,184.4,71.9,3520,2.4,160,22,27
0,2005,1,TOYOTA,Toyota,Land Cruiser,0,34,4870,55590,112.2,192.5,76.4,5390,4.7,235,13,17
0,2005,1,TOYOTA,Toyota,RAV4,0,38,70518,19115,98,166.6,68.3,2897,2.4,161,24,30
0,2005,1,TOYOTA,Toyota,Sequoia,0,33,45905,33035,118.1,203.9,78.9,4875,4.7,282,15,18
0,2005,1,TOYOTA,Toyota,Sienna,0,21,161380,23790,119.3,200,77.4,4210,3.3,230,19,27
0,2005,1,TOYOTA,Toyota,Tacoma,0,41,168831,13980,109.4,190.4,72.2,3140,2.7,164,20,27
0,2005,1,TOYOTA,Toyota,Tundra,0,42,126529,16520,128.3,218.3,75.2,3935,4,245,17,21
0,2005,59,TOYOTA,TOYOTA,scion xb,0,31,54037,14195,98.4,155.3,66.5,2395,1.5,108,30,34
0,2005,7,VOLKS,volkswagen,Touareg,0,39,18050,37755,112.4,187.2,75.9,5086,3.2,240,15,20
0,2005,6,VOLVO,Volvo,XC90,0,39,35976,35525,112.6,188.9,74.4,4450,2.5,208,18,24
1,2005,3,HONDA,acura ,RSX,0,2,20809,20745,101.2,172.2,67.9,2734,2,160,27,34
1,2005,3,HONDA,acura ,RL,0,5,17572,49470,110.2,193.6,72.7,3984,3.5,300,18,26
1,2005,3,HONDA,acura ,TL,0,5,78218,33470,107.9,189.3,72.2,3483,3.2,270,20,29
1,2005,3,HONDA,acura ,TSX,0,3,34856,27060,105.1,183.3,69.4,3230,2.4,200,22,30
